Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Capacity,Attendence
"Tue, Oct 17, 2017",8:01p,Boston Celtics,99,Cleveland Cavaliers,102,20562,20562,1.00
"Tue, Oct 17, 2017",10:30p,Houston Rockets,122,Golden State Warriors,121,19596,19596,1.00
"Wed, Oct 18, 2017",7:30p,Milwaukee Bucks,108,Boston Celtics,100,18624,18624,1.00
"Wed, Oct 18, 2017",8:30p,Atlanta Hawks,117,Dallas Mavericks,111,19709,20394,0.97
"Wed, Oct 18, 2017",7:00p,Charlotte Hornets,90,Detroit Pistons,102,20491,20491,1.00
"Wed, Oct 18, 2017",7:00p,Brooklyn Nets,131,Indiana Pacers,140,15008,17923,0.84
"Wed, Oct 18, 2017",8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103,17794,18119,0.98
"Wed, Oct 18, 2017",7:00p,Miami Heat,109,Orlando Magic,116,18846,19171,0.98
"Wed, Oct 18, 2017",10:00p,Portland Trail Blazers,124,Phoenix Suns,76,18055,18055,1.00
"Wed, Oct 18, 2017",10:00p,Houston Rockets,105,Sacramento Kings,100,17583,17583,1.00
"Wed, Oct 18, 2017",9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107,18418,18935,0.97
"Wed, Oct 18, 2017",9:00p,Denver Nuggets,96,Utah Jazz,106,17588,18306,0.96
"Wed, Oct 18, 2017",7:00p,Philadelphia 76ers,115,Washington Wizards,120,20356,20356,1.00
"Thu, Oct 19, 2017",10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92,18997,18997,1.00
"Thu, Oct 19, 2017",8:00p,New York Knicks,84,Oklahoma City Thunder,105,18203,18203,1.00
"Thu, Oct 19, 2017",7:30p,Chicago Bulls,100,Toronto Raptors,117,19800,20131,0.98
"Fri, Oct 20, 2017",7:30p,Orlando Magic,121,Brooklyn Nets,126,16144,17732,0.91
"Fri, Oct 20, 2017",7:00p,Atlanta Hawks,91,Charlotte Hornets,109,18417,19624,0.94
"Fri, Oct 20, 2017",8:30p,Sacramento Kings,93,Dallas Mavericks,88,19273,20394,0.95
"Fri, Oct 20, 2017",7:00p,Portland Trail Blazers,114,Indiana Pacers,96,15325,17923,0.86
"Fri, Oct 20, 2017",7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97,18717,18717,1.00
"Fri, Oct 20, 2017",8:00p,Utah Jazz,97,Minnesota Timberwolves,100,18978,18978,1.00
"Fri, Oct 20, 2017",9:30p,Golden State Warriors,128,New Orleans Pelicans,120,18171,18573,0.98
"Fri, Oct 20, 2017",7:00p,Boston Celtics,102,Philadelphia 76ers,92,20816,20848,1.00
"Fri, Oct 20, 2017",10:00p,Los Angeles Lakers,132,Phoenix Suns,130,18055,18055,1.00
"Fri, Oct 20, 2017",7:00p,Detroit Pistons,111,Washington Wizards,115,16337,20356,0.80
"Sat, Oct 21, 2017",8:00p,San Antonio Spurs,87,Chicago Bulls,77,21640,22983,0.94
"Sat, Oct 21, 2017",8:00p,Orlando Magic,114,Cleveland Cavaliers,93,20562,20562,1.00
"Sat, Oct 21, 2017",9:00p,Sacramento Kings,79,Denver Nuggets,96,19520,20103,0.97
"Sat, Oct 21, 2017",8:00p,Dallas Mavericks,91,Houston Rockets,107,18055,18476,0.98
"Sat, Oct 21, 2017",10:30p,Phoenix Suns,88,Los Angeles Clippers,130,19068,19430,0.98
"Sat, Oct 21, 2017",8:00p,Golden State Warriors,101,Memphis Grizzlies,111,17794,18119,0.98
"Sat, Oct 21, 2017",8:00p,Indiana Pacers,108,Miami Heat,112,19600,20093,0.98
"Sat, Oct 21, 2017",8:30p,Portland Trail Blazers,110,Milwaukee Bucks,113,16211,18717,0.87
"Sat, Oct 21, 2017",8:00p,Detroit Pistons,111,New York Knicks,107,19812,19812,1.00
